,university_per_10k,tertiary_industry_pct,subway_per_10k,poi_per_10k,job_per_10k,avg_rent,rent_income_ratio,avg_salary,gdp_per_capita,disposable_income
university_per_10k,0.0,0.583743154506669,0.709482891657517,0.7137868454059383,0.3593323560156338,0.435416131908035,0.2473369157319856,0.8184658401985379,0.9389539321968943,0.7521433838943147
tertiary_industry_pct,0.583743154506669,0.0,0.702946808235637,0.2264010164079119,0.17537381665226162,0.00962355165137084,0.059541998052315685,0.001358681880286909,0.2671555392353917,0.06563074312872148
subway_per_10k,0.709482891657517,0.702946808235637,0.0,5.5204049573163176e-05,8.597093913781402e-05,0.015695755128676093,0.0029729100130220887,0.08235897401344097,0.0032125225434413082,0.008394091124653093
poi_per_10k,0.7137868454059383,0.2264010164079119,5.5204049573163176e-05,0.0,2.6572330595775692e-05,0.004296914233098163,0.0007443638868834964,0.03264988860920229,0.0025714406214393487,0.0006246801181365951
job_per_10k,0.3593323560156338,0.17537381665226162,8.597093913781402e-05,2.6572330595775692e-05,0.0,4.0113687543616794e-05,8.051006603528762e-07,0.004742733876272834,0.0019397312565674351,0.0010128077093892458
avg_rent,0.435416131908035,0.00962355165137084,0.01569575512867614,0.004296914233098163,4.0113687543616794e-05,0.0,2.8461583067325974e-08,1.1158680055060184e-06,0.002386127847278156,9.203528338926203e-05
rent_income_ratio,0.2473369157319856,0.059541998052315685,0.0029729100130220887,0.0007443638868834964,8.051006603528762e-07,2.8461583067325054e-08,0.0,0.000661680270896743,0.00846359680283389,0.00051473509403275
avg_salary,0.8184658401985379,0.0013586818802869016,0.08235897401344097,0.03264988860920229,0.004742733876272834,1.1158680055060184e-06,0.000661680270896743,0.0,0.0006272316989635333,5.2197027295458234e-05
gdp_per_capita,0.9389539321968943,0.2671555392353917,0.003212522543441324,0.0025714406214393487,0.0019397312565674351,0.002386127847278156,0.00846359680283389,0.0006272316989635333,0.0,4.5036796057584983e-07
disposable_income,0.7521433838943147,0.06563074312872132,0.008394091124653093,0.0006246801181365951,0.0010128077093892458,9.203528338926203e-05,0.0005147350940327469,5.2197027295458234e-05,4.5036796057584046e-07,0.0
