,university_per_10k,tertiary_industry_pct,subway_per_10k,poi_per_10k,job_per_10k,avg_rent,rent_income_ratio,avg_salary,gdp_per_capita,disposable_income
university_per_10k,1.0,0.13928571428571426,-0.014285714285714282,-0.06785714285714285,0.017857142857142853,-0.12857142857142856,-0.2714285714285714,-0.075,-0.03214285714285714,-0.0035714285714285704
tertiary_industry_pct,0.13928571428571426,1.0,0.175,0.3214285714285714,0.3607142857142856,0.5214285714285714,0.3857142857142856,0.6,0.24642857142857136,0.5
subway_per_10k,-0.014285714285714282,0.175,1.0,0.8035714285714284,0.7178571428571427,0.7285714285714285,0.6678571428571428,0.7392857142857142,0.8464285714285712,0.7928571428571427
poi_per_10k,-0.06785714285714285,0.3214285714285714,0.8035714285714284,1.0,0.7892857142857141,0.6892857142857142,0.6464285714285712,0.7035714285714285,0.7714285714285712,0.8428571428571429
job_per_10k,0.017857142857142853,0.3607142857142856,0.7178571428571427,0.7892857142857141,1.0,0.8428571428571429,0.8392857142857142,0.7642857142857141,0.7749999999999999,0.8142857142857142
avg_rent,-0.12857142857142856,0.5214285714285714,0.7285714285714285,0.6892857142857142,0.8428571428571429,1.0,0.9392857142857142,0.8714285714285712,0.7357142857142855,0.8821428571428571
rent_income_ratio,-0.2714285714285714,0.3857142857142856,0.6678571428571428,0.6464285714285712,0.8392857142857142,0.9392857142857142,1.0,0.7499999999999999,0.6964285714285713,0.8142857142857142
avg_salary,-0.075,0.6,0.7392857142857142,0.7035714285714285,0.7642857142857141,0.8714285714285712,0.7499999999999999,1.0,0.7892857142857141,0.8428571428571429
gdp_per_capita,-0.03214285714285714,0.24642857142857136,0.8464285714285712,0.7714285714285712,0.7749999999999999,0.7357142857142855,0.6964285714285713,0.7892857142857141,1.0,0.8607142857142854
disposable_income,-0.0035714285714285704,0.5,0.7928571428571427,0.8428571428571429,0.8142857142857142,0.8821428571428571,0.8142857142857142,0.8428571428571429,0.8607142857142854,1.0
