,university_per_10k,tertiary_industry_pct,subway_per_10k,poi_per_10k,job_per_10k,avg_rent,rent_income_ratio,avg_salary,gdp_per_capita,disposable_income
university_per_10k,0.0,0.6205460876279014,0.9596997645989476,0.8101088187105131,0.9697698761545686,0.6479163294665075,0.3277893068411727,0.7905107941552679,0.9094621170945906,0.9899214068809781
tertiary_industry_pct,0.6205460876279014,0.0,0.5327481481378592,0.24271904680166836,0.19607167843419876,0.04621923447857302,0.1556307945859602,0.01805008794149996,0.37595051597380524,0.05769884126896001
subway_per_10k,0.9596997645989476,0.5327481481378592,0.0,0.00030726503181250915,0.0019129636009785611,0.002065209744690791,0.006509956694715437,0.0016355111435407642,6.923823609737207e-05,0.0004220771851923507
poi_per_10k,0.8101088187105131,0.24271904680166836,0.00030726503181250915,0.0,0.0002752442706954192,0.0044737344509062,0.009214550689979985,0.0034243370890839537,0.0007568751073803471,7.967195252724858e-05
job_per_10k,0.9697698761545686,0.19607167843419876,0.0019129636009785611,0.0002752442706954192,0.0,0.00015323557090564578,0.000219365827727102,0.0005697096277734958,0.0004220771851923507,0.0001951365470631984
avg_rent,0.6479163294665075,0.04621923447857302,0.002065209744690791,0.0044737344509062,0.00015323557090564578,0.0,2.094580193668552e-07,2.3236477821632676e-05,0.0017698686421442707,1.3558210624788689e-05
rent_income_ratio,0.3277893068411727,0.1556307945859602,0.006509956694715437,0.009214550689979985,0.000219365827727102,2.094580193668552e-07,0.0,0.001280898450935536,0.003921190506879554,0.000219365827727102
avg_salary,0.7905107941552679,0.01805008794149996,0.0016355111435407642,0.0034243370890839537,0.0005697096277734958,2.3236477821632676e-05,0.001280898450935536,0.0,0.0004673267561781759,7.967195252724858e-05
gdp_per_capita,0.9094621170945906,0.37595051597380524,6.923823609737207e-05,0.0007568751073803471,0.0004220771851923507,0.0017698686421442707,0.003921190506879554,0.0004673267561781759,0.0,3.8055250226647814e-05
disposable_income,0.9899214068809781,0.05769884126896001,0.0004220771851923507,7.967195252724858e-05,0.0001951365470631984,1.3558210624788689e-05,0.000219365827727102,7.967195252724858e-05,3.8055250226647814e-05,0.0
