city,rank,ycsi,ycsi_raw,avg_salary,avg_rent,rent_income_ratio,job_count,population_wan,job_per_10k,poi_per_10k,university_per_10k,subway_per_10k,metro_line_per_10k,gdp_per_capita,tertiary_industry_pct,opportunity_score,housing_friendliness,commute_friendliness,life_score,growth_score,opportunity_score_contribution,housing_friendliness_contribution,commute_friendliness_contribution,life_score_contribution,growth_score_contribution
北京,1,66.46,0.664631378214899,16792.0,4423.0,0.2634,7595090.0,1414.0,5371.350777934937,12.323903818953324,0.06506364922206506,0.32531824611032534,0.019094766619519095,183980.0,83.9,0.8438482703795592,0.38090824837812787,0.4649455384627311,0.5357332771136112,0.908270190782052,25.31544811138677,7.618164967562557,4.649455384627312,10.714665542272224,18.16540381564104
深圳,2,63.34,0.6333791258484193,12964.0,4481.0,0.3456,5135960.0,631.0,8139.3977812995245,17.8716323296355,0.02377179080824089,0.7210776545166403,0.025356576862123614,173663.0,61.6,0.701419342671514,0.0,1.0,1.0,0.6147666152348257,21.04258028014542,0.0,10.0,20.0,12.295332304696514
杭州,3,54.96,0.5496179537258243,12593.0,2836.0,0.2252,2946440.0,835.0,3528.670658682635,14.432335329341317,0.055089820359281436,0.39401197604790417,0.01437125748502994,149857.0,68.2,0.45244695927773265,0.5579240037071362,0.47906960345643773,0.6333749810306701,0.6385855432464973,13.57340877833198,11.158480074142725,4.790696034564378,12.667499620613404,12.771710864929947
南京,4,54.74,0.5474142837139957,12424.0,2279.0,0.1834,2178990.0,734.0,2968.6512261580383,9.38283378746594,0.07220708446866485,0.4564032697547684,0.017711171662125342,174520.0,62.2,0.3847364594908684,0.7516218721037998,0.5953071714062536,0.38364459097879483,0.7270466805479548,11.54209378472605,15.032437442075997,5.953071714062536,7.672891819575897,14.540933610959097
上海,5,54.41,0.5441483737494249,16338.0,4957.0,0.3034,6830750.0,1493.0,4575.184192900201,11.252511721366377,0.042866711319490956,0.3596784996651038,0.013395847287340924,173600.0,74.1,0.7308010630003975,0.19555143651529194,0.4267945599425187,0.4311957642469807,0.7843957935129962,21.924031890011925,3.9110287303058393,4.267945599425187,8.623915284939615,15.687915870259925
广州,6,53.15,0.5314916088311009,12024.0,2995.0,0.2491,4269380.0,1012.0,4218.754940711462,13.355731225296443,0.037549407114624504,0.3458498023715415,0.015810276679841896,150366.0,71.5,0.4772448420786489,0.4471733086190919,0.44378648668166387,0.64303299240644,0.6294912366711674,14.317345262359469,8.943466172381838,4.437864866816639,12.8606598481288,12.589824733423347
苏州,7,49.1,0.4909608490050393,10562.0,1940.0,0.1837,3004550.0,762.0,3942.979002624672,11.377952755905511,0.03412073490813648,0.36089238845144356,0.010498687664041995,177505.0,51.1,0.2933094240761792,0.7502316960148285,0.3889104988967554,0.4949329052574609,0.5752202581902601,8.799282722285376,15.004633920296573,3.8891049889675537,9.898658105149218,11.504405163805204
青岛,8,46.09,0.46093037911831847,10602.0,1376.0,0.1298,1476550.0,846.0,1745.3309692671394,9.757683215130024,0.03309692671394799,0.30969267139479906,0.0070921985815602835,138849.0,62.0,0.22123706405293617,1.0,0.28450141973637005,0.4437730312877782,0.3867725583562248,6.637111921588085,20.0,2.8450141973637004,8.875460625755565,7.735451167124497
武汉,9,45.52,0.45521261219734005,10134.0,1586.0,0.1565,1877180.0,934.0,2009.8286937901498,9.308351177730193,0.08886509635974305,0.3351177730192719,0.01284796573875803,135251.0,61.9,0.21166504757001048,0.876274328081557,0.3914305780456482,0.3464543879260326,0.5401214846012706,6.349951427100314,17.525486561631144,3.914305780456482,6.9290877585206525,10.802429692025413
长沙,10,43.08,0.4308118497592333,9567.0,1476.0,0.1543,1550530.0,760.0,2040.171052631579,10.310526315789474,0.07631578947368421,0.2776315789473684,0.009210526315789473,130745.0,56.7,0.1604761762570883,0.886468952734013,0.27674038746805796,0.3955509820623854,0.4929548558801066,4.814285287712649,17.729379054680262,2.7674038746805794,7.911019641247709,9.859097117602133
天津,11,37.24,0.37239113279772607,10681.0,1734.0,0.1623,2564450.0,1152.0,2226.0850694444443,6.861111111111111,0.04861111111111111,0.2673611111111111,0.0078125,113732.0,61.3,0.24921355268311668,0.8493975903614458,0.2461101036254951,0.22099376821059938,0.2946889245791623,7.476406580493499,16.987951807228917,2.4611010362549512,4.419875364211988,5.893778491583246
西安,12,36.28,0.3627523140260164,9631.0,1450.0,0.1506,2029000.0,999.0,2031.031031031031,7.92992992992993,0.06306306306306306,0.22322322322322322,0.009009009009009009,83689.0,69.0,0.21949748796677,0.9036144578313252,0.2121180239784706,0.26846274732329906,0.20637912103606698,6.584924639003099,18.072289156626507,2.121180239784706,5.369254946465982,4.12758242072134
郑州,13,36.05,0.3605232519736028,8030.0,1247.0,0.1553,2198220.0,911.0,2412.974753018661,8.95609220636663,0.07354555433589462,0.26125137211855104,0.008781558726673985,100092.0,58.6,0.11125843495989951,0.8818350324374421,0.25229363319873516,0.360222988697476,0.26752376969387887,3.3377530487969853,17.636700648748842,2.522936331987352,7.20445977394952,5.350475393877577
成都,14,33.17,0.33174850993923044,9488.0,1643.0,0.1732,2755445.0,1556.0,1770.8515424164525,7.884961439588689,0.037275064267352186,0.2410025706940874,0.008354755784061696,94622.0,66.4,0.18558572287253905,0.7988878591288231,0.2234755677809021,0.24297390916843384,0.22676441319963545,5.567571686176171,15.977757182576463,2.234755677809021,4.859478183368677,4.53528826399271
